Date,Price,Open,High,Low,Vol.,Change %
06/09/2021,13814.94,13865.51,13900.71,13811.05,142.01M,0.03%
06/08/2021,13810.86,13873.46,13913.40,13746.42,171.52M,0.06%
06/07/2021,13802.89,13744.15,13808.42,13710.11,158.49M,0.23%
06/04/2021,13770.77,13619.79,13784.77,13613.58,148.48M,1.78%
06/03/2021,13529.68,13568.91,13608.54,13469.85,157.94M,-1.07%
06/02/2021,13675.79,13655.71,13712.68,13610.16,151.45M,0.16%
06/01/2021,13654.59,13764.27,13773.45,13602.12,157.44M,-0.23%
05/28/2021,13686.51,13717.00,13765.80,13684.83,164.33M,0.21%
05/27/2021,13657.85,13686.86,13724.76,13652.13,307.94M,-0.33%
05/26/2021,13702.74,13687.71,13726.06,13661.06,153.51M,0.33%
05/25/2021,13657.73,13701.30,13734.41,13614.54,154.43M,0.12%
05/24/2021,13641.75,13504.39,13687.60,13500.12,154.55M,1.71%
05/21/2021,13411.74,13573.22,13573.84,13401.53,173.17M,-0.61%
05/20/2021,13494.09,13294.59,13526.01,13293.10,185.10M,1.94%
05/19/2021,13237.91,12998.53,13243.98,12994.35,201.19M,0.15%
05/18/2021,13217.68,13352.26,13400.52,13212.85,160.78M,-0.72%
05/17/2021,13312.91,13329.86,13350.14,13196.57,159.03M,-0.60%
05/14/2021,13393.11,13238.99,13430.00,13220.18,175.04M,2.17%
05/13/2021,13109.15,13133.73,13226.64,13006.77,195.42M,0.83%
05/12/2021,13001.63,13155.07,13236.89,12967.18,219.84M,-2.62%
05/11/2021,13351.27,13102.64,13381.66,13094.76,207.66M,-0.06%
05/10/2021,13359.08,13647.73,13648.49,13358.62,217.49M,-2.63%
05/07/2021,13719.63,13715.56,13814.66,13669.78,171.70M,0.78%
05/06/2021,13613.73,13490.94,13617.33,13403.46,192.04M,0.82%
05/05/2021,13503.37,13649.12,13676.86,13478.58,180.30M,-0.30%
05/04/2021,13544.67,13680.63,13705.38,13396.11,221.33M,-1.85%
05/03/2021,13799.72,13923.04,13955.00,13784.66,166.87M,-0.44%
04/30/2021,13860.76,13857.79,13969.20,13838.82,211.03M,-0.78%
04/29/2021,13970.20,14063.94,14073.48,13836.10,197.09M,0.49%
04/28/2021,13901.62,13953.61,13992.08,13895.15,199.19M,-0.42%
04/27/2021,13960.28,14048.13,14048.34,13931.18,168.17M,-0.47%
04/26/2021,14026.16,13954.94,14039.40,13919.93,161.38M,0.61%
04/23/2021,13941.44,13794.49,13989.43,13789.45,172.09M,1.30%
04/22/2021,13762.36,13920.88,13954.03,13716.76,172.74M,-1.24%
04/21/2021,13935.15,13768.92,13939.70,13717.44,166.85M,0.91%
04/20/2021,13809.30,13891.96,13934.89,13730.59,161.46M,-0.71%
04/19/2021,13907.67,13970.83,14025.64,13835.75,177.42M,-0.96%
04/16/2021,14041.91,14035.96,14050.38,13966.54,194.73M,0.11%
04/15/2021,14026.19,13934.87,14040.11,13931.01,177.92M,1.61%
04/14/2021,13803.91,13988.86,13990.54,13782.17,161.34M,-1.31%
04/13/2021,13986.49,13874.58,14002.53,13874.58,164.97M,1.21%
04/12/2021,13819.35,13792.74,13839.39,13747.63,178.22M,-0.19%
04/09/2021,13845.06,13709.67,13849.31,13674.92,160.65M,0.63%
04/08/2021,13758.50,13730.73,13763.18,13703.51,163.89M,1.04%
04/07/2021,13616.70,13553.90,13648.80,13532.63,144.11M,0.28%
04/06/2021,13578.46,13567.20,13660.29,13551.60,163.84M,-0.14%
04/05/2021,13598.16,13434.04,13623.60,13420.81,178.50M,2.02%
04/01/2021,13329.51,13268.88,13333.41,13255.82,187.35M,1.82%
03/31/2021,13091.44,12970.33,13167.06,12966.65,247.92M,1.51%
03/30/2021,12896.53,12904.01,12929.46,12798.03,172.81M,-0.53%
03/29/2021,12965.74,12950.51,13013.48,12836.60,199.25M,-0.10%
03/26/2021,12979.12,12777.27,12992.30,12721.66,253.00M,1.55%
03/25/2021,12780.51,12707.58,12845.66,12627.92,216.99M,-0.14%
03/24/2021,12798.88,13072.82,13077.49,12797.84,208.06M,-1.68%
03/23/2021,13017.79,13127.17,13180.66,12993.50,203.45M,-0.53%
03/22/2021,13086.51,12943.14,13167.46,12943.14,209.33M,1.71%
03/19/2021,12866.99,12792.67,12906.02,12704.07,575.60M,0.61%
03/18/2021,12789.14,13006.29,13040.36,12781.53,226.02M,-3.13%
03/17/2021,13202.38,13024.83,13280.29,12950.08,220.85M,0.38%
03/16/2021,13152.28,13156.65,13297.48,13091.78,186.93M,0.53%
03/15/2021,13082.54,12936.13,13085.01,12885.64,180.21M,1.12%
03/12/2021,12937.29,12873.39,12943.58,12778.12,184.56M,-0.89%
03/11/2021,13052.90,12960.53,13117.86,12920.00,211.63M,2.36%
03/10/2021,12752.07,12950.25,12979.38,12726.85,214.22M,-0.33%
03/09/2021,12794.49,12635.45,12868.52,12592.83,252.07M,4.03%
03/08/2021,12299.08,12629.56,12718.58,12287.57,273.33M,-2.92%
03/05/2021,12668.51,12594.16,12700.95,12208.39,302.02M,1.64%
03/04/2021,12464.00,12655.92,12799.08,12314.16,307.81M,-1.73%
03/03/2021,12683.33,13020.10,13057.29,12679.89,230.65M,-2.88%
03/02/2021,13059.95,13297.76,13301.62,13052.12,195.31M,-1.68%
03/01/2021,13282.95,13106.02,13293.78,13051.70,207.57M,2.89%
02/26/2021,12909.44,12958.97,13090.36,12764.34,312.55M,0.63%
02/25/2021,12828.31,13197.75,13294.56,12773.76,260.93M,-3.56%
02/24/2021,13302.19,13095.86,13312.42,12971.82,214.77M,0.81%
02/23/2021,13194.71,12982.36,13259.85,12758.12,261.29M,-0.22%
